reaction,bnumber,gene_name,Chemostat_vilu_011,Chemostat_heinmann_012,galactose_heinmann,Chemostat_heinmann_02,Chemostat_vilu_021,acetate_heinmann,Chemostat_vilu_031,Chemostat_heinmann_035,glucosamine_heinmann,Chemostat_vilu_04,succinate_heinmann,pyruvate_heinmann,fumarate_heinmann,glycerol_heinmann,Chemostat_vilu_049,Chemostat_heinmann_05,pH6_heinmann,anaerobic_heinmann,glucose_heinmann,42Cdeg_henimann,NaCl_50mM_heinmann
14GLUCANtexi,b4036,lamB,860606060606060.6,134369525992496.44,113480957888676.25,136917770741597.81,1106060606060606.0,120388229842424.25,1000000000000000.0,112975026783080.8,41780344930616.51,521212121212121.2,80204188397979.8,92273448983838.4,81640996213636.36,88347890242160.75,118181818181818.19,173898611441958.0,38205383834408.61,,40407388448295.46,40153274379004.32,48469539317748.91
23PDE2pp,b4213,cpdB,887878787878787.9,2762213682773160.5,1105699121348325.2,2180735133892011.0,848484848484848.5,1300658507631565.5,757575757575757.6,1505120794226010.2,696161130652664.4,475757575757575.75,1167008633439394.0,1101405416359884.8,1246876555034343.5,961513578067984.2,318181818181818.2,1535532880836596.8,560869512271554.25,728512633791849.5,578749313756060.8,640949817112337.5,554684379739393.94
23PDE4pp,b4213,cpdB,887878787878787.9,2762213682773160.5,1105699121348325.2,2180735133892011.0,848484848484848.5,1300658507631565.5,757575757575757.6,1505120794226010.2,696161130652664.4,475757575757575.75,1167008633439394.0,1101405416359884.8,1246876555034343.5,961513578067984.2,318181818181818.2,1535532880836596.8,560869512271554.25,728512633791849.5,578749313756060.8,640949817112337.5,554684379739393.94
23PDE7pp,b4213,cpdB,887878787878787.9,2762213682773160.5,1105699121348325.2,2180735133892011.0,848484848484848.5,1300658507631565.5,757575757575757.6,1505120794226010.2,696161130652664.4,475757575757575.75,1167008633439394.0,1101405416359884.8,1246876555034343.5,961513578067984.2,318181818181818.2,1535532880836596.8,560869512271554.25,728512633791849.5,578749313756060.8,640949817112337.5,554684379739393.94
23PDE9pp,b4213,cpdB,887878787878787.9,2762213682773160.5,1105699121348325.2,2180735133892011.0,848484848484848.5,1300658507631565.5,757575757575757.6,1505120794226010.2,696161130652664.4,475757575757575.75,1167008633439394.0,1101405416359884.8,1246876555034343.5,961513578067984.2,318181818181818.2,1535532880836596.8,560869512271554.25,728512633791849.5,578749313756060.8,640949817112337.5,554684379739393.94
2AGPA120tipp,b2835,lplT,,,,,,,,,,,,,,,,,,,,,
2AGPA140tipp,b2835,lplT,,,,,,,,,,,,,,,,,,,,,
2AGPA141tipp,b2835,lplT,,,,,,,,,,,,,,,,,,,,,
2AGPA160tipp,b2835,lplT,,,,,,,,,,,,,,,,,,,,,
2AGPA161tipp,b2835,lplT,,,,,,,,,,,,,,,,,,,,,
2AGPA180tipp,b2835,lplT,,,,,,,,,,,,,,,,,,,,,
2AGPA181tipp,b2835,lplT,,,,,,,,,,,,,,,,,,,,,
2AGPE120tipp,b2835,lplT,,,,,,,,,,,,,,,,,,,,,
2AGPE140tipp,b2835,lplT,,,,,,,,,,,,,,,,,,,,,
2AGPE141tipp,b2835,lplT,,,,,,,,,,,,,,,,,,,,,
2AGPE160tipp,b2835,lplT,,,,,,,,,,,,,,,,,,,,,
